,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
2,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.736952453,2.63e-07,-2.63e-07,170.307565,0.000115,-0.000115,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,33.46,8.5,-2.83,1395.0,,,891.96,668.95,-230.35,505.6,1.0,q1_q17_dr25_tce,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.791,0.201,-0.067,19h02m08.31s,+48d17m06.8s,15.597,
3,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.525591777,3.761e-06,-3.761e-06,171.59555,0.00113,-0.00113,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.3,16.9,-16.9,2.75,0.88,-0.35,1406.0,,,926.16,874.33,-314.24,40.9,1.0,q1_q17_dr25_tce,6031.0,169.0,-211.0,4.438,0.07,-0.21,1.046,0.334,-0.133,19h15m01.17s,+48d13m34.3s,15.509,
5,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.13443512,1.046e-05,-1.046e-05,172.97937,0.0019,-0.0019,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,2.77,0.9,-0.3,1160.0,,,427.65,420.33,-136.7,40.2,2.0,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,19h45m08.67s,+48d13m28.8s,15.714,
9,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,2.7e-08,-2.7e-08,122.763305,8.7e-06,-8.7e-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14230.9,4.2,-4.2,13.04,0.51,-0.51,1339.0,,,761.46,106.21,-95.76,4304.3,1.0,q1_q17_dr25_tce,5820.0,78.0,-78.0,4.457,0.024,-0.024,0.964,0.038,-0.038,19h07m14.03s,+49d18m59.0s,11.338,
10,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0,0,1,0,0,2.204735417,4.3e-08,-4.3e-08,121.3585417,1.6e-05,-1.6e-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,2048.0,,,4148.92,651.59,-654.46,5945.9,1.0,q1_q17_dr25_tce,6440.0,76.0,-89.0,4.019,0.033,-0.027,1.952,0.099,-0.11,19h28m59.35s,+47d58m10.3s,10.463,
11,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.522498429,1.98e-07,-1.98e-07,121.1194228,4.71e-05,-4.71e-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,14.59,1.11,-1.11,1521.0,,,1264.67,307.23,-276.48,1741.5,1.0,q1_q17_dr25_tce,6225.0,112.0,-137.0,4.169,0.055,-0.045,1.451,0.11,-0.11,18h45m09.15s,+42d27m03.9s,13.563,
18,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.02930329,5.509e-06,-5.509e-06,171.602959,0.000713,-0.000713,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,2.85,0.26,-0.15,678.0,,,50.04,16.4,-9.88,65.4,1.0,q1_q17_dr25_tce,4537.0,123.0,-123.0,4.648,0.02,-0.056,0.672,0.062,-0.036,18h54m50.61s,+47d51m47.8s,15.784,
20,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.349553819,8.834e-06,-8.834e-06,171.80694,0.00127,-0.00127,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,831.0,14.8,-14.8,2.55,0.16,-0.24,919.0,,,168.99,34.66,-38.48,60.6,1.0,q1_q17_dr25_tce,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,19h29m30.27s,+47d52m51.6s,15.416,
25,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.99677968,1.389e-05,-1.389e-05,171.74208,0.00219,-0.00219,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,934.7,39.7,-39.7,2.78,0.52,-0.23,917.0,,,166.95,102.06,-42.14,28.2,1.0,q1_q17_dr25_tce,5339.0,175.0,-159.0,4.552,0.034,-0.136,0.847,0.161,-0.069,19h51m13.98s,+47d56m48.0s,15.861,
26,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.280963604,6.141e-06,-6.141e-06,171.89659,0.00115,-0.00115,0.424,0.112,-0.356,2.875,0.042,-0.042,750.8,14.1,-14.1,2.3,0.58,-0.19,1012.0,,,247.87,182.24,-63.32,61.8,1.0,q1_q17_dr25_tce,5644.0,152.0,-169.0,4.564,0.032,-0.168,0.831,0.207,-0.069,19h37m03.79s,+49d18m50.7s,15.356,
27,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.50635409,4.7e-07,-4.7e-07,170.998064,0.000246,-0.000246,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,2211.7,18.3,-18.3,4.53,1.01,-0.44,1452.0,,,1054.12,703.1,-292.26,181.1,1.0,q1_q17_dr25_tce,5714.0,155.0,-172.0,4.563,0.04,-0.16,0.831,0.186,-0.08,19h42m39.65s,+49d21m03.6s,15.525,
32,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.252962249,9.577e-06,-9.577e-06,171.30126,0.00117,-0.00117,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,1036.9,24.5,-24.5,2.65,0.1,-0.23,823.0,,,108.3,15.73,-23.44,47.1,3.0,q1_q17_dr25_tce,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,0.033,-0.072,19h07m59.88s,+48d22m32.8s,15.841,
36,11138155,K00760.01,Kepler-1976 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.959319244,5.15e-07,-5.15e-07,172.2585292,8.27e-05,-8.27e-05,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9802.0,20.0,-20.0,12.21,1.96,-1.46,1103.0,,,349.4,146.52,-93.21,696.5,1.0,q1_q17_dr25_tce,5712.0,77.0,-77.0,4.359,0.11,-0.11,1.082,0.173,-0.13,19h28m40.09s,+48d43m39.3s,15.263,
37,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,2.701287801,5.634e-06,-5.634e-06,170.69579,0.00164,-0.00164,1.016,3.967,-0.059,3.3827,0.0892,-0.0892,860.4,20.9,-20.9,6.54,1.64,-0.75,1222.0,,,527.81,411.33,-166.35,48.3,1.0,q1_q17_dr25_tce,5550.0,182.0,-182.0,4.468,0.091,-0.169,0.91,0.228,-0.105,19h51m41.68s,+48d46m38.4s,15.54,
